,AFFGEOID,count_x,count_y,count_1,count_2,count
250,1500000US060372375001,22,31,18,18,16
251,1500000US060372123031,22,28,30,17,12
252,1500000US060371318002,22,21,16,19,23
253,1500000US060372036003,22,18,20,17,19
254,1500000US060372213021,22,17,17,20,5
255,1500000US060371853202,22,27,37,25,10
256,1500000US060372112021,22,25,31,30,27
257,1500000US060372346003,22,18,16,2,10
258,1500000US060371210102,22,28,19,22,19
259,1500000US060372371012,22,17,19,24,30
260,1500000US060371175302,21,8,17,14,5
261,1500000US060372371021,21,29,29,22,12
262,1500000US060371340011,21,22,21,11,31
263,1500000US060372346001,21,23,38,26,22
264,1500000US060372381003,21,11,23,30,16
265,1500000US060371200101,21,16,19,19,10
266,1500000US060372379002,21,16,15,7,11
267,1500000US060371277111,21,15,29,31,12
268,1500000US060372316003,21,30,26,25,12
269,1500000US060372225002,21,24,15,15,7
270,1500000US060372243201,21,13,13,26,17
271,1500000US060372122041,21,18,20,21,17
272,1500000US060372094011,21,12,38,14,10
273,1500000US060372362041,21,19,8,5,13
274,1500000US060372393302,21,17,15,17,16
275,1500000US060372048103,21,18,28,17,12
276,1500000US060372943022,21,15,23,14,17
277,1500000US060372111203,21,9,11,11,5
278,1500000US060372427004,21,13,7,11,10
279,1500000US060372393202,21,35,18,36,34
280,1500000US060372375002,21,21,32,22,19
281,1500000US060371920022,21,4,4,3,3
282,1500000US060372293002,21,43,24,19,12
283,1500000US060372362042,21,16,34,23,16
284,1500000US060372912102,21,13,8,14,5
285,1500000US060371919011,21,16,11,14,10
286,1500000US060372343003,20,32,25,14,13
287,1500000US060372313002,20,15,15,21,19
288,1500000US060372349021,20,23,25,11,16
289,1500000US060372264202,20,15,11,32,20
290,1500000US060372396022,20,20,23,21,17
291,1500000US060372122031,20,14,20,18,7
292,1500000US060371212101,20,13,12,12,6
293,1500000US060379800101,20,7,18,7,7
294,1500000US060372374023,20,34,23,24,40
295,1500000US060372291001,20,27,39,24,20
296,1500000US060372294202,20,28,17,28,10
297,1500000US060371239013,20,24,11,19,13
298,1500000US060372404011,20,15,17,9,9
299,1500000US060372051101,20,8,13,12,5
300,1500000US060371863021,20,4,9,8,3
301,1500000US060372211102,20,14,12,14,10
302,1500000US060371351113,20,18,26,20,10
303,1500000US060372264101,20,26,26,30,8
304,1500000US060372190102,20,15,20,21,14
305,1500000US060371999001,20,10,5,10,11
306,1500000US060372403003,20,21,29,13,21
307,1500000US060372374011,20,25,19,17,6
308,1500000US060372349011,20,17,18,19,21
309,1500000US060372400103,20,18,15,13,12
310,1500000US060371340022,19,13,15,13,6
311,1500000US060372412013,19,14,13,13,13
312,1500000US060371871022,19,9,9,20,3
313,1500000US060372201003,19,20,16,13,14
314,1500000US060372283102,19,15,7,6,11
315,1500000US060372431001,19,24,24,17,28
316,1500000US060371349011,19,9,11,7,11
317,1500000US060371920021,19,17,10,12,7
318,1500000US060371913012,19,28,29,27,37
319,1500000US060372214012,19,28,22,23,21
320,1500000US060371132342,19,14,19,20,13
321,1500000US060371282101,19,18,8,18,24
322,1500000US060372060323,19,10,9,9,7
323,1500000US060372093001,19,14,8,13,24
324,1500000US060371220002,19,24,36,29,19
325,1500000US060372095202,19,22,13,12,5
326,1500000US060372420002,19,21,19,19,14
327,1500000US060372060101,19,11,18,19,8
328,1500000US060372410013,19,10,12,8,15
329,1500000US060371154042,19,9,23,14,7
330,1500000US060372213031,19,23,20,33,46
331,1500000US060372374022,18,19,20,9,3
332,1500000US060371281021,18,25,39,34,29
333,1500000US060372398012,18,19,13,8,13
334,1500000US060371132333,18,16,7,9,3
335,1500000US060372213022,18,23,24,27,31
336,1500000US060372397022,18,11,22,15,11
337,1500000US060372948201,18,15,25,17,7
338,1500000US060372741001,18,25,17,14,17
339,1500000US060372281001,18,18,21,6,4
340,1500000US060372149021,18,14,12,14,7
341,1500000US060372397012,18,42,28,24,32
342,1500000US060371096041,18,19,11,13,8
343,1500000US060372405001,18,17,19,16,20
344,1500000US060372405003,18,30,18,12,10
345,1500000US060372217101,18,23,25,26,18
346,1500000US060379800311,18,15,18,15,11
347,1500000US060372131002,18,20,10,12,9
348,1500000US060371047012,18,9,13,6,9
349,1500000US060371349051,18,13,7,15,4
350,1500000US060371134011,18,20,23,13,7
351,1500000US060372944101,18,12,19,4,5
352,1500000US060372362021,18,23,32,31,21
353,1500000US060372042002,18,18,19,14,8
354,1500000US060371998003,18,16,18,7,19
355,1500000US060372195002,18,31,19,17,15
356,1500000US060372172001,18,13,10,9,10
357,1500000US060372094012,18,20,17,18,18
358,1500000US060372267004,18,16,23,8,11
359,1500000US060371134212,18,20,11,10,4
360,1500000US060371224102,18,14,15,16,10
361,1500000US060371272202,18,25,25,23,19
362,1500000US060371413042,17,24,21,13,9
363,1500000US060372412011,17,11,8,5,8
364,1500000US060371201052,17,11,30,16,18
365,1500000US060371232031,17,13,16,14,15
366,1500000US060379800211,17,6,18,7,11
367,1500000US060371234201,17,6,5,11,10
368,1500000US060372071011,17,21,10,17,7
369,1500000US060372384001,17,16,18,15,20
370,1500000US060372089021,17,18,18,15,12
371,1500000US060372380003,17,21,22,13,7
372,1500000US060372128002,17,20,10,20,5
373,1500000US060371252002,17,19,14,22,11
374,1500000US060372699031,17,6,8,7,8
375,1500000US060372340005,17,27,23,17,16
376,1500000US060372095102,17,14,9,9,9
377,1500000US060371061141,17,30,15,17,12
378,1500000US060372324002,17,20,23,19,24
379,1500000US060372111221,17,21,29,19,28
380,1500000US060371343051,17,14,20,13,9
381,1500000US060371235101,17,15,13,16,5
382,1500000US060371898002,17,4,8,6,8
383,1500000US060372397011,17,14,10,8,8
384,1500000US060372132012,17,16,17,11,14
385,1500000US060372100103,17,10,17,17,12
386,1500000US060372189003,16,19,5,13,5
387,1500000US060371272102,16,21,11,9,5
388,1500000US060372732003,16,6,11,15,6
389,1500000US060371345221,16,14,17,14,8
390,1500000US060371316001,16,14,26,8,7
391,1500000US060372312201,16,23,20,28,16
392,1500000US060372322003,16,18,20,7,16
393,1500000US060372093002,16,13,23,15,13
394,1500000US060372345023,16,16,25,21,10
395,1500000US060371283032,16,13,12,10,10
396,1500000US060372283103,16,17,22,16,7
397,1500000US060372080001,16,21,15,18,16
398,1500000US060372409005,16,10,4,12,11
399,1500000US060372123051,16,8,8,8,7
400,1500000US060371152021,16,13,11,9,14
401,1500000US060372420001,16,8,6,5,15
402,1500000US060372094021,16,11,10,8,8
403,1500000US060372126101,16,24,14,24,15
404,1500000US060371231031,16,7,7,11,6
405,1500000US060372352013,16,5,21,8,6
406,1500000US060372969011,16,11,11,10,6
407,1500000US060371899052,16,10,19,5,6
408,1500000US060371911102,16,30,19,16,28
409,1500000US060372220024,16,21,12,14,8
410,1500000US060371916201,15,22,11,20,20
411,1500000US060371927001,15,13,20,15,7
412,1500000US060372343002,15,21,26,18,12
413,1500000US060371066481,15,16,10,10,11
414,1500000US060372216011,15,10,8,5,12
415,1500000US060372316002,15,13,23,9,21
416,1500000US060372920002,15,13,22,27,11
417,1500000US060371838102,15,12,14,22,27
418,1500000US060371204003,15,12,9,6,3
419,1500000US060372414001,15,10,7,9,9
420,1500000US060372242001,15,11,19,11,9
421,1500000US060371201061,15,20,9,10,15
422,1500000US060372244101,15,7,13,5,8
423,1500000US060371276051,15,6,3,5,1
424,1500000US060372312102,15,15,18,11,10
425,1500000US060372187022,15,9,5,10,18
426,1500000US060372182202,15,13,11,10,20
427,1500000US060372193003,15,15,6,27,14
428,1500000US060372328001,15,12,9,10,10
429,1500000US060372325004,15,8,15,5,3
430,1500000US060372377101,15,21,18,13,24
431,1500000US060371396002,15,10,14,7,3
432,1500000US060372372011,15,13,11,14,8
433,1500000US060371211021,15,10,10,8,2
434,1500000US060371218021,15,13,8,9,16
435,1500000US060372222002,15,16,13,14,26
436,1500000US060372373005,15,6,9,5,20
437,1500000US060371042041,15,15,16,10,8
438,1500000US060372761003,15,6,11,9,7
439,1500000US060372287203,15,13,20,15,21
440,1500000US060371132332,15,8,11,7,9
441,1500000US060372126201,15,9,7,2,2
442,1500000US060371041082,15,6,11,5,4
443,1500000US060372362022,15,16,18,18,17
444,1500000US060372408001,15,4,9,14,10
445,1500000US060372427001,15,13,17,16,11
446,1500000US060372398013,15,17,30,28,17
447,1500000US060371927002,15,13,15,11,12
448,1500000US060371990002,15,19,23,26,24
449,1500000US060372046002,15,4,12,4,14
450,1500000US060372098202,14,12,13,10,14
451,1500000US060372703003,14,20,10,14,10
452,1500000US060372739023,14,16,14,19,14
453,1500000US060372948302,14,28,24,26,21
454,1500000US060372948101,14,19,20,6,4
455,1500000US060372912103,14,5,8,7,2
456,1500000US060372361003,14,10,9,6,13
457,1500000US060371271041,14,15,27,16,17
458,1500000US060371277112,14,16,13,19,12
459,1500000US060372127011,14,13,11,6,22
460,1500000US060372760001,14,9,11,8,7
461,1500000US060372376003,14,29,32,11,11
462,1500000US060372031002,14,8,13,5,8
463,1500000US060372323003,14,17,16,23,10
464,1500000US060371047041,14,14,9,11,14
465,1500000US060372284202,14,28,11,22,9
466,1500000US060371193411,14,12,14,14,6
467,1500000US060371133032,14,15,16,5,2
468,1500000US060371329002,14,11,10,11,16
469,1500000US060372362023,14,9,14,12,33
470,1500000US060372325003,14,11,4,3,8
471,1500000US060372121012,14,17,21,8,13
472,1500000US060372213041,14,6,6,7,11
473,1500000US060372407004,14,18,19,16,19
474,1500000US060372911201,14,25,22,13,15
475,1500000US060371913021,14,17,18,17,5
476,1500000US060372287201,14,16,12,10,10
477,1500000US060372949001,14,14,9,6,4
478,1500000US060372133202,14,11,7,12,7
479,1500000US060371905102,14,6,13,10,11
480,1500000US060372972011,14,28,8,14,11
481,1500000US060372411203,14,19,5,9,11
482,1500000US060372393201,14,28,12,9,8
483,1500000US060371233012,14,12,12,9,1
484,1500000US060372313001,14,27,9,27,15
485,1500000US060371911101,14,13,11,18,12
486,1500000US060372122032,14,9,14,15,21
487,1500000US060372423002,14,25,29,6,23
488,1500000US060372119211,14,17,12,4,3
489,1500000US060372318001,14,12,18,18,12
490,1500000US060372951032,14,7,6,9,5
491,1500000US060372095101,14,9,5,9,7
492,1500000US060372283203,14,8,10,6,10
493,1500000US060372396021,14,6,11,8,12
494,1500000US060371044042,14,8,9,16,8
495,1500000US060371218022,13,19,19,19,4
496,1500000US060372673002,13,5,4,6,2
497,1500000US060371132322,13,7,6,6,9
498,1500000US060371375011,13,15,13,5,7
499,1500000US060371836102,13,11,18,22,20
500,1500000US060372270101,13,24,26,20,11
501,1500000US060371255011,13,12,3,9,9
502,1500000US060371345211,13,9,7,4,6
503,1500000US060372324003,13,16,12,9,10
504,1500000US060371193401,13,14,17,11,6
505,1500000US060371343032,13,18,11,16,7
506,1500000US060372315003,13,14,13,9,5
507,1500000US060372134022,13,15,19,16,18
508,1500000US060372084022,13,18,10,13,5
509,1500000US060372086203,13,10,11,10,11
510,1500000US060372410022,13,14,10,10,6
511,1500000US060372422003,13,26,25,13,19
512,1500000US060372372012,13,23,13,20,13
513,1500000US060371218023,13,22,12,5,17
514,1500000US060371838101,13,10,16,11,10
515,1500000US060371279202,13,1,4,4,1
516,1500000US060372382004,13,15,24,16,24
517,1500000US060372035001,13,25,18,16,6
518,1500000US060372971102,13,16,13,20,13
519,1500000US060372182102,13,4,16,8,5
520,1500000US060372322002,13,13,4,9,1
521,1500000US060372094032,13,11,10,13,10
522,1500000US060371924202,13,17,11,21,12
523,1500000US060372676002,13,6,8,2,2
524,1500000US060371284004,13,6,7,5,7
525,1500000US060372088021,13,7,7,7,5
526,1500000US060371201071,13,17,12,11,7
